Column1,PRIM_CMPLNT_RSN_LOB_CORP_ID,PRIM_CMPLNT_RSN_LOB_DESC,Count(*)
569,75,Escrow | Escrow Analysis | Administrative                                                                                                                                                                                                                      ,264
570,75,Customer Contact | General Inquiry | Administrative                                                                                                                                                                                                            ,309
571,75,Servicing Integration (Post Closing) | Government Insuring / Special Loan Services | Refund                                                                                                                                                                    ,9
572,75,Default | Bankruptcy | TBD                                                                                                                                                                                                                                     ,21
573,75,IncomingWires-Research                                                                                                                                                                                  ,1
574,75,Escrow | Escrow Account | Other                                                                                                                                                                                                                                ,14
575,75,Servicing Integration (Post Closing) | Final Document Services | Miscellaneous                                                                                                                                                                                 ,2
576,75,Adverse Action Complaint                                                        ,133
577,75,Tax | General | Adding Tax Line                                                                                                                                                                                                                                ,7
578,75,Cease/Desist Request                                                            ,6
579,75,Tax | General | Lender Placed (LP)                                                                                                                                                                                                                             ,33
580,75,Originations | Escrow Account | Initial Escrow Deposit                                                                                                                                                                                                         ,40
581,75,Tax | Pay Taxes | Delinquent Taxes                                                                                                                                                                                                                             ,216
582,75,Customer Contact | General Inquiry | Other                                                                                                                                                                                                                     ,180
583,75,Escrow | Escrow Account | TBD                                                                                                                                                                                                                                  ,5
584,75,Tax | General | Payment Validation                                                                                                                                                                                                                             ,74
585,75,Insurance | Loss Draft | TBD                                                                                                                                                                                                                                   ,6
586,75,Originations | Escrow Account | Requirement                                                                                                                                                                                                                    ,17
587,75,Mortgage Insurance | PMI | TBD                                                                                                                                                                                                                                 ,2
588,75,Escrow | Escrow Account | Prepayment                                                                                                                                                                                                                           ,16
589,75,Customers Threatens to File Law Suit                                            ,27
590,75,Tax | General | Administrative / System Maintenance                                                                                                                                                                                                            ,120
591,75,Print Vendor | Monthly Mortgage Statements | TBD                                                                                                                                                                                                               ,1
592,75,Print Vendor | Year End Statement | Miscellaneous                                                                                                                                                                                                              ,1
593,75,Default Operations Support (DOS) | Default Operations Support (DOS) | TBD                                                                                                                                                                                      ,1
594,75,Assumptions | Assumptions | Administrative                                                                                                                                                                                                                     ,18
595,75,Loans-Research                                                                                                                                                                                          ,1
596,75,Escrow | Escrow Account | Adding                                                                                                                                                                                                                               ,89
597,75,Customer Contact | General Inquiry | Document Request                                                                                                                                                                                                          ,566
598,75,ParticipantIndicative-Research                                                                                                                                                                          ,3
599,75,Tax | General | Deferral                                                                                                                                                                                                                                       ,11
600,75,Tax | Pay Taxes | Miscellaneous                                                                                                                                                                                                                                ,1
601,75,Tax | Pay Taxes | Disbursement of Taxes                                                                                                                                                                                                                        ,141
602,75,POA - Request                                                                   ,8
603,75,Servicing Integration (Post Closing) | Final Document Services | Recordation Issues                                                                                                                                                                            ,10
604,75,Default | Loan Modification | TBD                                                                                                                                                                                                                              ,167
605,75,Rate Increase/Penalty Pricing                                                   ,32
606,75,Assumptions | Assumptions | Qualifying and Non-Qualifying Assumptions                                                                                                                                                                                          ,32
607,75,Marketing | Solicitation | Other                                                                                                                                                                                                                               ,4
608,75,Default | Short Sale | Other                                                                                                                                                                                                                                   ,60
609,75,Loans-Interaction                                                                                                                                                                                       ,2
610,75,MISC                                                                            ,27
611,75,Default | Foreclosure | TBD                                                                                                                                                                                                                                    ,83
612,75,PlanRules-Interaction                                                                                                                                                                                   ,1
613,75,Assumptions | Assumptions | Information Requests                                                                                                                                                                                                               ,129
614,75,Originations | Property Valuation | Other                                                                                                                                                                                                                      ,16
615,75,Originations | Lender | Funding Issue (Mortgage Specialist)                                                                                                                                                                                                    ,35
616,75,RSC-CallPulls/Reviews                                                                                                                                                                                   ,1
617,75,Escrow | Escrow Analysis | Miscellaneous                                                                                                                                                                                                                       ,4
618,75,Customer Contact | General Inquiry | Adoption                                                                                                                                                                                                                  ,1
619,75,Reg D - Reserve Financial Institutions are required to maintain                                     ,3
620,75,Tax | Pay Taxes | Mobile / Manufactured Home (Personal vs. Real Property)                                                                                                                                                                                      ,1
621,75,Demographics                                                                    ,2
622,75,POA - Approved                                                                  ,1
623,75,Originations | Interview | Other                                                                                                                                                                                                                               ,2
624,75,Credit/Debit Card Rewards                                                       ,1
625,75,Customer Contact | General Inquiry | Security Breach                                                                                                                                                                                                           ,12
626,75,Misrouted                                                                       ,107
627,75,Settlement Request                                                              ,96
628,75,Servicing Integration (Post Closing) | New Loan Data Integrity (FKA New Loan Management) | New Loan Boarding                                                                                                                                                   ,2
629,75,Tax | Pay Taxes | Supplemental / Interim                                                                                                                                                                                                                       ,7
630,75,Escrow | Escrow Account | Miscellaneous                                                                                                                                                                                                                        ,29
631,75,Tracking Only (ICCC)                                                            ,3
632,75,Originations | Disclosure / Compliance Regulation | Property Inspection                                                                                                                                                                                        ,8
633,75,Regulation D Transfers                                                                              ,1
634,75,Originations | Disclosure / Compliance Regulation | Miscellaneous                                                                                                                                                                                              ,27
635,75,Customer Contact | General Inquiry | Rental Request                                                                                                                                                                                                            ,41
636,75,Escrow | Escrow Account | Buydown Funds                                                                                                                                                                                                                        ,53
637,75,Customer Contact | General Inquiry | Payment Assistance Form                                                                                                                                                                                                   ,69
638,75,Suggestions for Improvement                                                     ,34
639,75,Reg E                                                                                               ,2
640,75,Escrow | Escrow Refund Check | Reissue Check                                                                                                                                                                                                                   ,212
641,75,Miscellaneous                                     ,48
642,75,RSC-Research                                                                                                                                                                                            ,2
643,75,Originations | Disclosure / Compliance Regulation | TBD                                                                                                                                                                                                        ,1
644,75,Assumptions | Assumptions | Miscellaneous                                                                                                                                                                                                                      ,4
645,75,Customer Contact | General Inquiry | Second Lien-Holder (Junior Lien)                                                                                                                                                                                          ,17
646,75,NB - BACC Atonement                                                                                 ,1
647,75,Default | Short Sale | TBD                                                                                                                                                                                                                                     ,27
648,75,Beneficiary-Interaction                                                                                                                                                                                 ,2
649,75,Card Design Studio                                                              ,1
650,75,Originations | Lender | Processing / Closing Issue (Mortgage Specialist)                                                                                                                                                                                       ,172
651,75,Originations | Retention Programs | TBD                                                                                                                                                                                                                        ,3
652,75,Escrow | Escrow Refund Check | Endorsement                                                                                                                                                                                                                     ,24
653,75,Customer Contact | General Inquiry | Information Request                                                                                                                                                                                                       ,3838
654,75,Lien Release | Transfer Work | TBD                                                                                                                                                                                                                             ,2
655,75,DBEN-Interaction                                                                                                                                                                                        ,2
656,75,Originations | Servicing | TBD                                                                                                                                                                                                                                 ,2
657,75,PlanSponsorClientContact-Interaction                                                                                                                                                                    ,1
658,75,Default | REO | TBD                                                                                                                                                                                                                                            ,5
659,75,Gift Cards                                                                      ,1
660,75,Payment Processing | Payment | TBD                                                                                                                                                                                                                             ,35
661,75,Mortgage Insurance | MIP/RBI | Other                                                                                                                                                                                                                           ,1
662,75,Partner/Field Support Request                                                   ,1
663,75,Reg GG - Unlawful Interstate Gambling                                                               ,2
664,75,Customer Contact | General Inquiry | Verification of Mortgage                                                                                                                                                                                                  ,89
665,75,OCA                                                                             ,4
666,75,Optional Services | Optional Product | WFE Product / Service                                                                                                                                                                                                   ,11
667,75,Tax | General | Parent Parcel                                                                                                                                                                                                                                  ,3
668,75,Payment Processing | Reversal | TBD                                                                                                                                                                                                                            ,2
669,75,Escrow | Escrow Analysis | Overage                                                                                                                                                                                                                             ,52
670,75,Timing of Request                                                               ,1
671,75,Customer Contact | General Inquiry | Missing Correspondence                                                                                                                                                                                                    ,17
672,75,Originations | Lender | Miscellaneous                                                                                                                                                                                                                          ,49
673,75,On-Line Issues                                    ,540
674,75,Payment Processing | Payoff | TBD                                                                                                                                                                                                                              ,5
675,75,ParticipantIndicative-Interaction                                                                                                                                                                       ,1
676,75,Assumptions | Assumptions | TBD                                                                                                                                                                                                                                ,1
677,75,New Application (Anything)                                                      ,1
678,75,Servicing Integration (Post Closing) | Loan Salability Management & Collateral Analysis | Miscellaneous                                                                                                                                                        ,1
679,75,Customer Contact | VRU | System Functionality / Information                                                                                                                                                                                                    ,4
680,75,Tax | General | Refund                                                                                                                                                                                                                                         ,72
681,75,Escrow | Escrow Refund Check | Non-Receipt                                                                                                                                                                                                                     ,54
682,75,Default | Reporting | TBD                                                                                                                                                                                                                                      ,42
683,75,Servicing Integration (Post Closing) | New Loan Data Integrity (FKA New Loan Management) | Miscellaneous                                                                                                                                                       ,1
684,75,Default | Collections | TBD                                                                                                                                                                                                                                    ,17
685,75,Tax | General | Rolled Due Date Incorrectly                                                                                                                                                                                                                    ,2
686,75,Lease                                                                           ,32
687,75,Originations | Escrow Account | Miscellaneous                                                                                                                                                                                                                  ,1
688,75,Tax | General | Association Dues                                                                                                                                                                                                                               ,8
689,75,Default | Deed in Lieu | Other                                                                                                                                                                                                                                 ,17
690,75,Default | Deed in Lieu | TBD                                                                                                                                                                                                                                   ,8
691,75,Default | Property Preservation | TBD                                                                                                                                                                                                                          ,8
692,75,EnrollmentForm-Research                                                                                                                                                                                 ,2
693,75,Tax | General | Non-Escrowed Account                                                                                                                                                                                                                           ,33
694,75,Credit/Debit Cards                                                              ,2
695,75,Banking Issues                                                                  ,1
696,75,Economic Solvency                                                               ,1
697,75,Originations | Processing/Decisioning | Other                                                                                                                                                                                                                  ,40
698,75,Originations | Third Party | TBD                                                                                                                                                                                                                               ,2
699,75,Tax | General | TBD                                                                                                                                                                                                                                            ,4
700,75,Customer Contact | Online Banking | TBD                                                                                                                                                                                                                        ,1
701,75,Insurance | Flood | Other                                                                                                                                                                                                                                      ,1
702,75,Originations | Closing | Other                                                                                                                                                                                                                                 ,37
703,75,Financial Abuse                                                                                     ,1
704,75,Originations | Lender | Application Issue (Loan Officer)                                                                                                                                                                                                       ,157
705,75,Update Account Detail                                                           ,13
706,75,Insurance | Hazard | Other                                                                                                                                                                                                                                     ,1
707,75,Escrow | Escrow Account | Interest on Escrow                                                                                                                                                                                                                   ,9
708,75,Payment Processing | Flexible Drafting Plans | TBD                                                                                                                                                                                                             ,2
709,75,Lien Release | Release Processing | TBD                                                                                                                                                                                                                        ,11
710,75,Escrow | Escrow Account | Requirement                                                                                                                                                                                                                          ,50
711,75,Tax | Pay Taxes | TBD                                                                                                                                                                                                                                          ,8
712,75,Tracking only (Deposit Operations)                                              ,3
713,75,Third Party (e.g. complaints against vendor)                                    ,18
714,75,Assumptions | Assumptions | Transfer of Title without Consent (FKA Illegal Transfer)                                                                                                                                                                           ,14
715,75,Tax | General | Incorrect Amount Paid                                                                                                                                                                                                                          ,15
716,75,ContributionsPayroll-Research                                                                                                                                                                           ,2
717,75,PB - Overdraft Monitoring                                                                           ,2
718,76,Overdraft Protection                                                                                ,45
719,76,Over-draft Protection                                                           ,49
720,77,Payment Issue                                                                                       ,10
721,77,Payment Processing | Reversal | Return Item Situation (148)                                                                                                                                                                                                    ,57
722,77,Payment Processing | Flexible Drafting Plans | Application of Partial Payments                                                                                                                                                                                 ,19
723,77,Payment Processing | Payment | Application of Partial Payments                                                                                                                                                                                                 ,241
724,77,Returned Payment                                                                ,4
725,77,Reverse Mortgage | Payments / Disbursements | Disbursements                                                                                                                                                                                                    ,12
726,77,Reimbursement                                                                   ,3
727,77,Payment Processing | Flexible Drafting Plans | Wells to Wells Refinance                                                                                                                                                                                        ,8
728,77,ALP/Automatic Loan Payments                                                     ,9
729,77,Payment Overcharge                                                              ,1
730,77,Distribution Of Payments                                                        ,70
731,77,Online                                                                          ,6
732,77,Lost Payment                                                                    ,41
733,77,Reverse Mortgage | Payments / Disbursements | Other                                                                                                                                                                                                            ,3
734,77,Payment Processing | Payment | Interest Calculation                                                                                                                                                                                                            ,60
735,77,In Store Payment                                                                ,1
736,77,Other                                                                           ,21
737,77,Pay/Deny CFD                                                                    ,120
738,77,Release of available credit upon payment                                        ,1
739,77,Payment                                                                                             ,463
740,77,Unauthorized Payments                                                           ,68
741,77,Over Payment Refund                                                             ,55
742,77,Payment Processing | Payment | Amount                                                                                                                                                                                                                          ,248
743,77,Misencoded Payment                                                              ,3
744,77,Payment Processing | Payment | Application Validation or Application Instructions                                                                                                                                                                              ,1759
745,77,Payment Processing | Payment | Miscellaneous                                                                                                                                                                                                                   ,94
746,77,Payment Hold                                                                    ,1
747,77,Pay/Deny L/S                                                                    ,1
748,77,ACH/Automatic Payments                                                          ,59
749,77,Delays in Payment Posting                                                       ,17
750,77,Payment Processing | Reversal | Reversal of Funds (147)                                                                                                                                                                                                        ,66
751,77,Payment-Balance Error / Dispute                                                                                                                                                                         ,1
752,78,Payment Processing | Payment | Wells Fargo Bank Payments                                                                                                                                                                                                       ,111
753,78,Payment - Misapplied                                                                                ,31
754,78,Misapplied Payment                                                              ,53
755,78,Payment Processing | Payment | Misapplied Wrong Element                                                                                                                                                                                                        ,414
756,78,Payment Processing | Payment | Duplicate Posting Issues                                                                                                                                                                                                        ,232
757,78,Payment Processing | Payment | Foreclosure Referral - Resulting from a Payment Issue                                                                                                                                                                           ,18
758,78,Payment – Misapplied,2
759,78,Payment Processing | Payment | Cashed / Not Posted                                                                                                                                                                                                             ,403
760,78,Payment Processing | Payment | Misapplied Wrong Loan                                                                                                                                                                                                           ,500
761,79,Payoff                                                                          ,1
762,79,Payment Processing | Payoff | Statement Request                                                                                                                                                                                                                ,274
763,79,Payment Processing | Payoff | Delays                                                                                                                                                                                                                           ,45
764,79,Escrow | Escrow Account | Netted Escrow Payoff                                                                                                                                                                                                                 ,9
765,79,Payment Processing | Payoff | Matured Loans                                                                                                                                                                                                                    ,6
766,79,Payment Processing | Payoff | Miscellaneous                                                                                                                                                                                                                    ,24
767,79,Payment Processing | Payoff | Calculation                                                                                                                                                                                                                      ,114
768,79,Reverse Mortgage | Payments / Disbursements | Repayment / Payoff                                                                                                                                                                                               ,15
769,79,Payment Processing | Payoff | Cashed / Not Posted                                                                                                                                                                                                              ,18
770,79,Payment Processing | Payoff | Final Payment                                                                                                                                                                                                                    ,67
771,79,Payoff Process                                                                  ,75
772,79,Payment Processing | Payoff | Short Payoff                                                                                                                                                                                                                     ,53
773,79,Originations | Disclosure / Compliance Regulation | Prepayment Penalty                                                                                                                                                                                         ,5
774,79,Payment Processing | Payoff | Cancel Payoff or Loan Paid in Full in Error                                                                                                                                                                                      ,12
775,79,Payment Processing | Payoff | HUD Partial Claim                                                                                                                                                                                                                ,1
776,79,Payment Processing | Payoff | Prepayment Penalty                                                                                                                                                                                                               ,11
777,80,Phishing                                                                        ,17
778,81,Photocopies (statements/checks)                                                 ,2
779,81,Photocopies                                                                                         ,56
780,82,Early Account Closure (4 day)                                                   ,17
781,82,Funds in Suspense                                                               ,45
782,82,Negative Wells Fargo Risk Screen                                                ,69
783,82,Suspect ID (Bad Kids)                                                           ,2
784,82,Prevention Action,2
785,82,Account Closure                                                                 ,190
786,82,Hard Hold                                                                       ,475
787,82,Funds in Suspense (IRS only)                                                    ,8
788,82,Lost or Stolen Cashier{\2019}s Check                                            ,7
789,83,Pricing                                                                         ,6
790,84,Marketing | Solicitation | Selling / Sharing Information with a 3rd Party                                                                                                                                                                                      ,10
